date,open,high,low,close,volume
1999-01-22,0.04006265934622523,0.04471267422565055,0.03553168913232505,0.037559088319540024,2714688000
1999-01-25,0.04053974362792587,0.04197009425037397,0.037559083500430274,0.04149392247200012,510480000
1999-01-26,0.04197007743169378,0.0428052112908538,0.03767810964060756,0.03827424347400665,343200000
1999-01-27,0.0383932838861766,0.03934746232852082,0.03624684462385385,0.038155198097229004,244368000
1999-01-28,0.03815519885881672,0.03839328465251656,0.037797154230628384,0.03803524002432823,227520000
1999-01-29,0.03803525777404666,0.03815521666451575,0.03624686226248741,0.03624686226248741,244032000
1999-02-01,0.03624685555617707,0.03720103087499443,0.03624685555617707,0.03696294501423836,154704000
1999-02-02,0.036246847159769974,0.037201022257557274,0.03302809886174487,0.03410131856799126,264096000
1999-02-03,0.03362422789160287,0.03529357780959263,0.03338522447701148,0.03481648862361908,75120000
1999-02-04,0.03529357709175654,0.037678105329916126,0.034816487915486506,0.03672393038868904,181920000
1999-02-05,0.03732006010268307,0.03815519385197758,0.03636679940967817,0.037797149270772934,136848000
1999-02-08,0.03803523792625353,0.03815519675412493,0.03648584336042404,0.03648584336042404,154080000
1999-02-09,0.037201022530718414,0.03743911174938484,0.03457749384441107,0.035054583102464676,86976000
1999-02-10,0.03505457356637538,0.03600874841159958,0.03410130954162415,0.03469744324684143,148224000
1999-02-11,0.03481651068512804,0.03910848079208169,0.03481651068512804,0.037678129971027374,132240000
1999-02-12,0.038155202896868134,0.04006264237822127,0.038155202896868134,0.039824556559324265,109728000
1999-02-16,0.04053971403491137,0.042209066971622265,0.0360087442985523,0.04006262496113777,211008000
1999-02-17,0.03910846272072459,0.039585551988551404,0.037201023292784,0.03791619837284088,67728000
1999-02-18,0.03910847607528145,0.03958556550602226,0.03743912530084344,0.038512345403432846,70704000
1999-02-19,0.038155202896868134,0.04053973165940765,0.03767811361568176,0.039824556559324265,75360000
1999-02-22,0.04053971403491137,0.041016803108684975,0.037916182950653285,0.04006262496113777,205248000
1999-02-23,0.04101680251027123,0.042805196572929305,0.038632274819185665,0.041970063000917435,138096000
1999-02-24,0.048170417186892064,0.050078771294854094,0.04423557856351917,0.04530879855155945,612768000
1999-02-25,0.04721714379056985,0.04864749742909152,0.04316234705683866,0.04387843981385231,149136000
1999-02-26,0.04435554728603019,0.04578589809955928,0.041493928015186136,0.04185105860233307,172608000
1999-03-01,0.04292427839113555,0.04387845735295175,0.040062659149463484,0.04209005832672119,92160000
1999-03-02,0.041970087902863606,0.04220909139956718,0.041016826846622785,0.041732002049684525,55248000
1999-03-03,0.04197008329755262,0.04197008329755262,0.03863229350167343,0.03887037932872772,61392000
1999-03-04,0.040777813162696006,0.0410168165996911,0.03767810962812178,0.03803524002432823,57360000
1999-03-05,0.03839328348010707,0.04030072270134441,0.03839328348010707,0.040181681513786316,78768000
1999-03-08,0.039108474428901564,0.04197009324919859,0.03839329913473766,0.04077782854437828,75888000
1999-03-09,0.04065879329531206,0.042686192472569766,0.04065879329531206,0.04209005832672119,143184000
1999-03-10,0.04268616882342927,0.04268616882342927,0.040777811957071426,0.04137394577264786,235344000
1999-03-11,0.040658772461177405,0.041373947494185416,0.039585549384355545,0.039585549384355545,54288000
1999-03-12,0.039824557923792525,0.039824557923792525,0.03815520420414103,0.03887037932872772,90768000
1999-03-15,0.03982455892300204,0.04101682337503539,0.039585555446527275,0.040539734065532684,108816000
1999-03-16,0.04077780382524238,0.04125489294669168,0.03887036498253034,0.0392284095287323,79152000
1999-03-17,0.039585556397164545,0.04030073155686994,0.03851233654152902,0.03946651518344879,51360000
1999-03-18,0.03958553908429011,0.04053971730889669,0.03863227850275106,0.03994358703494072,46320000
1999-03-19,0.039824539245747685,0.04125488882407506,0.039824539245747685,0.04006262496113777,105312000
1999-03-22,0.04089686349461759,0.04101682234591162,0.03887037932872772,0.03887037932872772,36672000
1999-03-23,0.039108457519636416,0.039108457519636416,0.03577066837547927,0.03648584336042404,163968000
1999-03-24,0.03624686226248741,0.036485862399702106,0.034816508134888464,0.03624686226248741,60864000
1999-03-25,0.03612779662349266,0.03815519450618616,0.0360087520345663,0.03672393038868904,40320000
1999-03-26,0.03720101116584119,0.0400626281965934,0.03720101116584119,0.03994358703494072,88272000
1999-03-29,0.041135866194963455,0.04209004136085066,0.04042068767245225,0.041135866194963455,65952000
1999-03-30,0.04125492466745386,0.04161296948895519,0.0374391298163064,0.037678129971027374,69504000
1999-03-31,0.03887036955062413,0.04077780861750077,0.0370819750729851,0.04030071943998337,153600000
1999-04-01,0.040300730815732044,0.0405397342935511,0.03839329121043952,0.03910846635699272,30432000
1999-04-05,0.03863229109626444,0.039585551988551404,0.03767811256061081,0.03791619837284088,98640000
1999-04-06,0.03827425424116131,0.03839329546588218,0.03624685555617707,0.03696294501423836,69696000
1999-04-07,0.03720100816148959,0.040300710676527865,0.03696292244609951,0.04006262496113777,89280000
1999-04-08,0.040300739133721876,0.04197009324919859,0.039824567366706864,0.04077782854437828,130128000
1999-04-09,0.041016803108684975,0.041016803108684975,0.039824539245747685,0.04006262496113777,48624000
1999-04-12,0.03958555323624694,0.03958555323624694,0.03767811374818584,0.0383932888507843,33312000
1999-04-13,0.039108463627266936,0.039108463627266936,0.03624684900865352,0.03684297949075699,36144000
1999-04-14,0.036723941437550624,0.03755907545242494,0.03577067703008652,0.03577067703008652,48288000
1999-04-15,0.03672393038868904,0.03672393038868904,0.03577066626802657,0.03672393038868904,35856000
1999-04-16,0.03648584821272711,0.03851233225243955,0.03648584821272711,0.03791619837284088,38928000
1999-04-19,0.03839330256932192,0.03839330256932192,0.03577068704156011,0.03624686226248741,31296000
1999-04-20,0.036246848670368294,0.037678113082354386,0.03517362550808147,0.035531673580408096,67680000
1999-04-21,0.03553167154220452,0.03624684659114012,0.03529358232902141,0.03612780198454857,37488000
1999-04-22,0.036246842241998194,0.036246842241998194,0.0342203585336207,0.03457748889923096,227184000
1999-04-23,0.034458441239165936,0.03457748582087544,0.03267004687462071,0.03290904685854912,126048000
1999-04-26,0.032909061261645216,0.03338523638557495,0.030523617892199328,0.031239710748195648,123504000
1999-04-27,0.03195487482003718,0.03481648890443699,0.031477785630215596,0.03457748889923096,226944000
1999-04-28,0.034816495186132314,0.034816495186132314,0.0332661861559615,0.034339409321546555,120096000
1999-04-29,0.034458450524019024,0.03457749513780518,0.033624234229388476,0.034339409321546555,48144000
1999-04-30,0.03469744744358452,0.03624684194964353,0.03445844402899313,0.03481648862361908,99312000
1999-05-03,0.035173624300484325,0.035173624300484325,0.03410131881839177,0.035054583102464676,33840000
1999-05-04,0.03505460028782693,0.03505460028782693,0.032431984547828155,0.03314715996384621,96048000
1999-05-05,0.033385229584639395,0.033862318843603134,0.03147779019213404,0.033862318843603134,144576000
1999-05-06,0.03362423268122055,0.03433940774044966,0.03219296491942238,0.03320666402578354,35616000
1999-05-07,0.03219295330670326,0.03362422055221129,0.03219295330670326,0.03338521718978882,25008000
1999-05-10,0.03314713147037528,0.034101306222734995,0.03314713147037528,0.03338521718978882,19680000
1999-05-11,0.03481648327026345,0.036246836376357915,0.03410130842287248,0.03517361357808113,171744000
1999-05-12,0.03553168690434542,0.0363668211529565,0.03505459745100959,0.03624686226248741,168480000
1999-05-13,0.03624686226248741,0.0372010377578441,0.03612781760442685,0.03624686226248741,69936000
1999-05-14,0.03624684878176215,0.03624684878176215,0.033862320045647105,0.034339409321546555,28464000
1999-05-17,0.0338623277845512,0.036008767783641815,0.03374328314355855,0.036008767783641815,35760000
1999-05-18,0.0363668238167534,0.038155219459309046,0.03529360017340971,0.037678129971027374,151536000
1999-05-19,0.03934747583458485,0.04077782634579363,0.03541263716903007,0.036008767783641815,451728000
1999-05-20,0.03624686519578959,0.03624686519578959,0.03183585038818921,0.03314715996384621,178176000
1999-05-21,0.032670072119004925,0.032670072119004925,0.0314778071509327,0.032431986182928085,303504000
1999-05-24,0.03267006919499312,0.03338524458305857,0.0318358491438862,0.032312024384737015,162624000
1999-05-25,0.0324319791472784,0.03290906514846376,0.032192975619205914,0.03255102038383484,130080000
1999-05-26,0.032431986182928085,0.034101337255682596,0.032431986182928085,0.032431986182928085,104736000
1999-05-27,0.032670045787692295,0.032670045787692295,0.032192956656217575,0.032192956656217575,82320000
1999-05-28,0.03267006503170594,0.03267006503170594,0.032192975619205914,0.03255102038383484,88656000
1999-06-01,0.032431961380163334,0.032670047134160995,0.03195487222902578,0.032670047134160995,98544000
1999-06-02,0.03267006238946193,0.03267006238946193,0.03147779777646065,0.03147779777646065,130128000
1999-06-03,0.032312024384737015,0.03255102453195165,0.031954893806927676,0.032312024384737015,41568000
1999-06-04,0.03255102038383484,0.03267006503170594,0.03231202026707702,0.03255102038383484,78912000
1999-06-07,0.03272956745981908,0.03338522177407437,0.03267004687462071,0.03290904685854912,125136000
1999-06-08,0.03302810206264982,0.034339411112899364,0.03290905744265357,0.033743277192115784,153312000
1999-06-09,0.033862320045647105,0.035054584413704626,0.033862320045647105,0.034339409321546555,95184000
1999-06-10,0.03433939491932706,0.034577480635730615,0.03410130579161125,0.03445843607187271,36096000
